user_id,task_order_str,user_group,created_time
Participant-9,test-497|test-388|test-859|test-149|test-675|test-200,UP-UE,2024-08-22 21:59:12.933
Participant-37,test-200|test-149|test-859|test-497|test-675|test-388,UP-UE,2024-08-22 22:12:06.235
Participant-55,test-859|test-149|test-497|test-675|test-388|test-200,UP-UE,2024-08-22 22:32:38.364
Participant-183,test-149|test-388|test-497|test-675|test-200|test-859,UP-UE,2024-08-22 22:37:02.225
Participant-216,test-497|test-859|test-675|test-149|test-388|test-200,UP-UE,2024-08-22 23:09:33.489
Participant-155,test-497|test-675|test-200|test-388|test-859|test-149,UP-UE,2024-08-22 23:12:07.908
Participant-4,test-675|test-388|test-859|test-149|test-497|test-200,UP-UE,2024-08-22 23:15:06.219
Participant-136,test-200|test-859|test-149|test-388|test-497|test-675,UP-UE,2024-08-22 23:46:04.969
Participant-97,test-200|test-859|test-149|test-497|test-675|test-388,UP-UE,2024-08-22 23:57:01.347
Participant-101,test-388|test-497|test-859|test-675|test-149|test-200,UP-UE,2024-08-23 00:08:52.603
Participant-81,test-149|test-859|test-388|test-497|test-675|test-200,UP-UE,2024-08-23 00:13:39.562
Participant-232,test-388|test-859|test-675|test-149|test-200|test-497,UP-UE,2024-08-23 00:16:22.799
Participant-236,test-859|test-388|test-497|test-675|test-149|test-200,UP-UE,2024-08-23 01:01:44.786
Participant-62,test-497|test-200|test-675|test-388|test-149|test-859,UP-UE,2024-08-23 01:38:32.141
Participant-93,test-675|test-149|test-200|test-388|test-497|test-859,UP-UE,2024-08-23 01:41:11.838
Participant-201,test-149|test-388|test-200|test-859|test-675|test-497,UP-UE,2024-08-23 02:51:54.447
Participant-130,test-149|test-859|test-675|test-497|test-388|test-200,UP-UE,2024-08-23 03:27:56.758
Participant-186,test-200|test-388|test-675|test-497|test-859|test-149,UP-UE,2024-08-23 04:23:15.920
Participant-66,test-497|test-388|test-200|test-675|test-149|test-859,UP-UE,2024-08-23 04:36:13.804
Participant-244,test-675|test-388|test-859|test-497|test-200|test-149,UP-UE,2024-08-23 04:47:27.512
Participant-210,test-200|test-149|test-497|test-859|test-388|test-675,UP-UE,2024-08-23 05:09:07.652
Participant-238,test-675|test-149|test-859|test-200|test-497|test-388,UP-UE,2024-08-23 05:16:06.232
Participant-119,test-149|test-675|test-388|test-200|test-859|test-497,UP-UE,2024-08-23 02:04:33.281
Participant-180,test-859|test-149|test-388|test-497|test-675|test-200,UP-UE,2024-08-23 02:52:10.499
Participant-24,test-149|test-675|test-497|test-388|test-200|test-859,UP-UE,2024-08-23 03:34:54.428
Participant-161,test-675|test-149|test-388|test-497|test-200|test-859,UP-UE,2024-08-23 04:15:30.731
Participant-42,test-859|test-200|test-149|test-497|test-388|test-675,UP-UE,2024-08-23 04:14:56.961
Participant-239,test-149|test-388|test-497|test-200|test-675|test-859,UP-UE,2024-08-23 05:33:10.629
Participant-243,test-859|test-149|test-497|test-388|test-200|test-675,UP-UE,2024-08-23 06:13:48.576
Participant-120,test-149|test-497|test-200|test-675|test-388|test-859,UP-UE,2024-08-23 06:21:38.099
Participant-162,test-675|test-200|test-388|test-859|test-497|test-149,UP-UE,2024-08-23 06:42:36.712
Participant-245,test-859|test-675|test-149|test-388|test-497|test-200,UP-UE,2024-08-23 06:44:04.041
Participant-67,test-497|test-149|test-388|test-200|test-859|test-675,UP-UE,2024-08-23 07:09:45.158
Participant-190,test-200|test-388|test-149|test-859|test-675|test-497,UP-UE,2024-08-23 07:26:12.902
Participant-92,test-859|test-149|test-200|test-675|test-388|test-497,UP-UE,2024-08-23 07:39:46.345
Participant-163,test-859|test-200|test-149|test-675|test-388|test-497,UP-UE,2024-08-23 07:57:19.584
Participant-124,test-200|test-497|test-859|test-149|test-675|test-388,UP-UE,2024-08-23 08:36:18.257
Participant-109,test-149|test-675|test-388|test-497|test-200|test-859,UP-UE,2024-08-23 08:36:39.410
Participant-56,test-149|test-200|test-859|test-675|test-497|test-388,UP-UE,2024-08-23 08:49:39.029
Participant-59,test-200|test-859|test-675|test-149|test-388|test-497,UP-UE,2024-08-23 09:01:21.346
Participant-148,test-859|test-149|test-675|test-497|test-388|test-200,UP-UE,2024-08-23 09:34:26.158
Participant-1,test-859|test-497|test-149|test-200|test-675|test-388,UP-UE,2024-08-23 10:18:48.162
Participant-77,test-497|test-388|test-200|test-149|test-675|test-859,UP-UE,2024-08-23 10:51:40.520
Participant-181,test-200|test-388|test-149|test-859|test-497|test-675,UP-UE,2024-08-23 11:26:32.687
Participant-53,test-675|test-388|test-859|test-497|test-149|test-200,UP-UE,2024-08-23 11:37:13.375
Participant-242,test-388|test-149|test-497|test-675|test-859|test-200,UP-UE,2024-08-23 12:19:33.410
Participant-2,test-388|test-675|test-497|test-859|test-149|test-200,UP-UE,2024-08-23 12:36:43.349
Participant-211,test-497|test-149|test-388|test-200|test-859|test-675,UP-UE,2024-08-23 13:10:24.219
Participant-83,test-149|test-388|test-497|test-675|test-200|test-859,UP-UE,2024-08-23 11:18:21.652
Participant-84,test-200|test-149|test-675|test-497|test-859|test-388,UP-UE,2024-08-23 12:38:19.553
Participant-23,test-200|test-859|test-497|test-149|test-675|test-388,UP-UE,2024-08-23 13:03:29.657
Participant-234,test-200|test-859|test-149|test-675|test-497|test-388,UP-UE,2024-08-23 14:01:46.727
Participant-173,test-388|test-859|test-675|test-200|test-149|test-497,UP-UE,2024-08-23 14:33:46.360
Participant-35,test-200|test-497|test-149|test-388|test-859|test-675,UP-UE,2024-08-23 14:38:30.987
Participant-20,test-149|test-388|test-200|test-675|test-497|test-859,UP-UE,2024-08-23 14:44:36.251
Participant-43,test-497|test-859|test-388|test-149|test-200|test-675,UP-UE,2024-08-23 15:06:48.723
Participant-113,test-149|test-388|test-859|test-675|test-497|test-200,UP-UE,2024-08-23 15:06:49.878
Participant-68,test-388|test-675|test-200|test-149|test-859|test-497,UP-UE,2024-08-23 15:56:02.570
